Year,State,Exit Code,Reporting Period,Ages Birth through 2,Hispanic/Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or More Races,R/E Total,Male,Female,Gender Total,filename
2017-2018,Oklahoma,Total number exiting,07/2017 - 06/2018,2862,426,140,50,222,16,1763,245,2862,1824,1038,2862,data\data_file_8.csv.csv
2017-2018,Oklahoma,Withdrawal by parent,07/2017 - 06/2018,394,58,21,4,22,1,257,31,394,242,152,394,data\data_file_8.csv.csv
2017-2018,Oregon,Attempts to contact unsuccessful,07/2017 - 06/2018,260,69,1,10,4,0,163,13,260,164,96,260,data\data_file_8.csv.csv
2017-2018,Oregon,Completion of IFSP prior to max age,07/2017 - 06/2018,178,32,1,2,1,0,139,3,178,90,88,178,data\data_file_8.csv.csv
2017-2018,Oregon,Deceased,07/2017 - 06/2018,15,1,0,1,0,0,12,1,15,7,8,15,data\data_file_8.csv.csv
2017-2018,Oregon,Moved out of state,07/2017 - 06/2018,212,32,2,18,3,0,144,13,212,141,71,212,data\data_file_8.csv.csv
2017-2018,Oregon,Not eligible Part B - exit to other program,07/2017 - 06/2018,7,3,0,0,0,0,4,0,7,4,3,7,data\data_file_8.csv.csv
2017-2018,Oregon,Not eligible Part B - exit with no referrals,07/2017 - 06/2018,240,51,3,8,1,0,165,12,240,141,99,240,data\data_file_8.csv.csv
2017-2018,Oregon,Part B eligibility not determined,07/2017 - 06/2018,5,1,0,0,0,0,3,1,5,3,2,5,data\data_file_8.csv.csv
2017-2018,Oregon,"Part B eligible, Continuing in Part C",07/2017 - 06/2018,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_8.csv.csv
2017-2018,Oregon,"Part B eligible, exiting Part C",07/2017 - 06/2018,2094,497,20,69,47,3,1361,97,2094,1428,666,2094,data\data_file_8.csv.csv
2017-2018,Oregon,Total number exiting,07/2017 - 06/2018,3644,798,31,135,64,4,2437,175,3644,2332,1312,3644,data\data_file_8.csv.csv
2017-2018,Oregon,Withdrawal by parent,07/2017 - 06/2018,633,112,4,27,8,1,446,35,633,354,279,633,data\data_file_8.csv.csv
2017-2018,Pennsylvania,Attempts to contact unsuccessful,07/2017 - 06/2018,1070,197,4,15,297,1,469,87,1070,674,396,1070,data\data_file_8.csv.csv
2017-2018,Pennsylvania,Completion of IFSP prior to max age,07/2017 - 06/2018,5608,456,8,143,357,3,4287,354,5608,3257,2351,5608,data\data_file_8.csv.csv
2017-2018,Pennsylvania,Deceased,07/2017 - 06/2018,33,2,0,0,6,0,19,6,33,17,16,33,data\data_file_8.csv.csv
2017-2018,Pennsylvania,Moved out of state,07/2017 - 06/2018,563,112,0,56,75,0,268,52,563,358,205,563,data\data_file_8.csv.csv
2017-2018,Pennsylvania,Not eligible Part B - exit to other program,07/2017 - 06/2018,334,38,0,12,21,0,247,16,334,219,115,334,data\data_file_8.csv.csv
2017-2018,Pennsylvania,Not eligible Part B - exit with no referrals,07/2017 - 06/2018,468,46,1,15,40,0,331,35,468,335,133,468,data\data_file_8.csv.csv
2017-2018,Pennsylvania,Part B eligibility not determined,07/2017 - 06/2018,2047,368,0,57,538,0,951,133,2047,1390,657,2047,data\data_file_8.csv.csv
2017-2018,Pennsylvania,"Part B eligible, Continuing in Part C",07/2017 - 06/2018,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_8.csv.csv
2017-2018,Pennsylvania,"Part B eligible, exiting Part C",07/2017 - 06/2018,7665,1184,13,276,955,4,4777,456,7665,5411,2254,7665,data\data_file_8.csv.csv
2017-2018,Pennsylvania,Total number exiting,07/2017 - 06/2018,19514,2642,27,660,2571,9,12334,1271,19514,12680,6834,19514,data\data_file_8.csv.csv
2017-2018,Pennsylvania,Withdrawal by parent,07/2017 - 06/2018,1726,239,1,86,282,1,985,132,1726,1019,707,1726,data\data_file_8.csv.csv
2017-2018,Puerto Rico,Attempts to contact unsuccessful,07/2017 - 06/2018,203,x,0,0,0,0,0,x,203,136,67,203,data\data_file_8.csv.csv
2017-2018,Puerto Rico,Completion of IFSP prior to max age,07/2017 - 06/2018,698,x,0,0,0,0,0,x,698,460,238,698,data\data_file_8.csv.csv
2017-2018,Puerto Rico,Deceased,07/2017 - 06/2018,6,x,0,0,0,0,0,x,6,3,3,6,data\data_file_8.csv.csv
2017-2018,Puerto Rico,Moved out of state,07/2017 - 06/2018,408,x,0,0,0,0,0,x,408,270,138,408,data\data_file_8.csv.csv
2017-2018,Puerto Rico,Not eligible Part B - exit to other program,07/2017 - 06/2018,5,x,0,0,0,0,0,x,5,4,1,5,data\data_file_8.csv.csv
2017-2018,Puerto Rico,Not eligible Part B - exit with no referrals,07/2017 - 06/2018,0,x,0,0,0,0,0,x,0,0,0,0,data\data_file_8.csv.csv
2017-2018,Puerto Rico,Part B eligibility not determined,07/2017 - 06/2018,1135,x,0,0,0,0,0,x,1135,781,354,1135,data\data_file_8.csv.csv
2017-2018,Puerto Rico,"Part B eligible, Continuing in Part C",07/2017 - 06/2018,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_8.csv.csv
2017-2018,Puerto Rico,"Part B eligible, exiting Part C",07/2017 - 06/2018,489,x,0,0,0,0,0,x,489,343,146,489,data\data_file_8.csv.csv
2017-2018,Puerto Rico,Total number exiting,07/2017 - 06/2018,3118,x,0,0,0,0,0,x,3118,2097,1021,3118,data\data_file_8.csv.csv
2017-2018,Puerto Rico,Withdrawal by parent,07/2017 - 06/2018,174,x,0,0,0,0,0,x,174,100,74,174,data\data_file_8.csv.csv
2017-2018,Rhode Island,Attempts to contact unsuccessful,07/2017 - 07/2018,201,88,1,4,30,0,71,7,201,125,76,201,data\data_file_8.csv.csv
2017-2018,Rhode Island,Completion of IFSP prior to max age,07/2017 - 07/2018,202,31,0,4,16,0,143,8,202,114,88,202,data\data_file_8.csv.csv
2017-2018,Rhode Island,Deceased,07/2017 - 07/2018,1,0,0,0,0,0,1,0,1,1,0,1,data\data_file_8.csv.csv
2017-2018,Rhode Island,Moved out of state,07/2017 - 07/2018,79,19,1,7,6,0,44,2,79,47,32,79,data\data_file_8.csv.csv
2017-2018,Rhode Island,Not eligible Part B - exit to other program,07/2017 - 07/2018,121,33,0,6,8,0,70,4,121,82,39,121,data\data_file_8.csv.csv
2017-2018,Rhode Island,Not eligible Part B - exit with no referrals,07/2017 - 07/2018,112,25,0,4,8,0,73,2,112,71,41,112,data\data_file_8.csv.csv
2017-2018,Rhode Island,Part B eligibility not determined,07/2017 - 07/2018,192,68,1,0,22,0,93,8,192,119,73,192,data\data_file_8.csv.csv
2017-2018,Rhode Island,"Part B eligible, Continuing in Part C",07/2017 - 07/2018,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_8.csv.csv
2017-2018,Rhode Island,"Part B eligible, exiting Part C",07/2017 - 07/2018,763,204,1,22,45,0,472,19,763,542,221,763,data\data_file_8.csv.csv
2017-2018,Rhode Island,Total number exiting,07/2017 - 07/2018,2139,608,4,66,165,0,1231,65,2139,1367,772,2139,data\data_file_8.csv.csv
2017-2018,Rhode Island,Withdrawal by parent,07/2017 - 07/2018,468,140,0,19,30,0,264,15,468,266,202,468,data\data_file_8.csv.csv
2017-2018,South Carolina,Attempts to contact unsuccessful,07/2017 - 07/2018,302,34,1,2,145,1,92,27,302,186,116,302,data\data_file_8.csv.csv
2017-2018,South Carolina,Completion of IFSP prior to max age,07/2017 - 07/2018,325,24,1,3,69,1,217,10,325,180,145,325,data\data_file_8.csv.csv
2017-2018,South Carolina,Deceased,07/2017 - 07/2018,15,0,0,1,9,0,5,0,15,10,5,15,data\data_file_8.csv.csv
2017-2018,South Carolina,Moved out of state,07/2017 - 07/2018,199,10,0,5,50,1,123,10,199,128,71,199,data\data_file_8.csv.csv
2017-2018,South Carolina,Not eligible Part B - exit to other program,07/2017 - 07/2018,380,54,0,5,93,0,214,14,380,244,136,380,data\data_file_8.csv.csv
2017-2018,South Carolina,Not eligible Part B - exit with no referrals,07/2017 - 07/2018,494,54,2,11,129,1,276,21,494,318,176,494,data\data_file_8.csv.csv
2017-2018,South Carolina,Part B eligibility not determined,07/2017 - 07/2018,471,50,0,7,171,1,226,16,471,306,165,471,data\data_file_8.csv.csv
2017-2018,South Carolina,"Part B eligible, Continuing in Part C",07/2017 - 07/2018,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_8.csv.csv
2017-2018,South Carolina,"Part B eligible, exiting Part C",07/2017 - 07/2018,1587,175,4,24,475,2,834,73,1587,1134,453,1587,data\data_file_8.csv.csv
2017-2018,South Carolina,Total number exiting,07/2017 - 07/2018,4285,445,8,69,1253,7,2300,203,4285,2788,1497,4285,data\data_file_8.csv.csv
2017-2018,South Carolina,Withdrawal by parent,07/2017 - 07/2018,512,44,0,11,112,0,313,32,512,282,230,512,data\data_file_8.csv.csv
2017-2018,South Dakota,Attempts to contact unsuccessful,07/2017 - 06/2018,92,5,55,1,2,0,23,6,92,60,32,92,data\data_file_8.csv.csv
2017-2018,South Dakota,Completion of IFSP prior to max age,07/2017 - 06/2018,169,7,11,1,1,0,148,1,169,87,82,169,data\data_file_8.csv.csv
2017-2018,South Dakota,Deceased,07/2017 - 06/2018,3,0,0,0,0,0,3,0,3,3,0,3,data\data_file_8.csv.csv
2017-2018,South Dakota,Moved out of state,07/2017 - 06/2018,60,6,9,0,5,0,36,4,60,34,26,60,data\data_file_8.csv.csv
2017-2018,South Dakota,Not eligible Part B - exit to other program,07/2017 - 06/2018,139,3,27,3,2,0,100,4,139,82,57,139,data\data_file_8.csv.csv
2017-2018,South Dakota,Not eligible Part B - exit with no referrals,07/2017 - 06/2018,68,2,8,3,0,0,52,3,68,34,34,68,data\data_file_8.csv.csv
2017-2018,South Dakota,Part B eligibility not determined,07/2017 - 06/2018,15,2,5,1,0,0,7,0,15,12,3,15,data\data_file_8.csv.csv
2017-2018,South Dakota,"Part B eligible, Continuing in Part C",07/2017 - 06/2018,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_8.csv.csv
2017-2018,South Dakota,"Part B eligible, exiting Part C",07/2017 - 06/2018,475,30,70,11,18,0,315,31,475,323,152,475,data\data_file_8.csv.csv
2017-2018,South Dakota,Total number exiting,07/2017 - 06/2018,1041,56,192,21,28,0,695,49,1041,641,400,1041,data\data_file_8.csv.csv
2017-2018,South Dakota,Withdrawal by parent,07/2017 - 06/2018,20,1,7,1,0,0,11,0,20,6,14,20,data\data_file_8.csv.csv
2017-2018,Tennessee,Attempts to contact unsuccessful,07/2017 - 06/2018,553,44,2,3,180,1,295,28,553,336,217,553,data\data_file_8.csv.csv
2017-2018,Tennessee,Completion of IFSP prior to max age,07/2017 - 06/2018,117,10,2,4,16,0,80,5,117,60,57,117,data\data_file_8.csv.csv
2017-2018,Tennessee,Deceased,07/2017 - 06/2018,21,1,0,0,9,0,10,1,21,9,12,21,data\data_file_8.csv.csv
2017-2018,Tennessee,Moved out of state,07/2017 - 06/2018,301,27,2,10,37,1,207,17,301,200,101,301,data\data_file_8.csv.csv
2017-2018,Tennessee,Not eligible Part B - exit to other program,07/2017 - 06/2018,260,22,0,8,29,1,192,8,260,160,100,260,data\data_file_8.csv.csv
2017-2018,Tennessee,Not eligible Part B - exit with no referrals,07/2017 - 06/2018,193,20,1,5,19,2,141,5,193,114,79,193,data\data_file_8.csv.csv
2017-2018,Tennessee,Part B eligibility not determined,07/2017 - 06/2018,1278,100,3,22,306,3,777,67,1278,853,425,1278,data\data_file_8.csv.csv
2017-2018,Tennessee,"Part B eligible, Continuing in Part C",07/2017 - 06/2018,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_8.csv.csv
2017-2018,Tennessee,"Part B eligible, exiting Part C",07/2017 - 06/2018,1889,180,7,49,257,4,1325,67,1889,1340,549,1889,data\data_file_8.csv.csv
2017-2018,Tennessee,Total number exiting,07/2017 - 06/2018,6139,522,19,132,1086,15,4101,264,6139,3962,2177,6139,data\data_file_8.csv.csv
2017-2018,Tennessee,Withdrawal by parent,07/2017 - 06/2018,1527,118,2,31,233,3,1074,66,1527,890,637,1527,data\data_file_8.csv.csv
2017-2018,Texas,Attempts to contact unsuccessful,09/2017 - 08/2018,3051,1726,2,38,333,4,923,25,3051,1898,1153,3051,data\data_file_8.csv.csv
2017-2018,Texas,Completion of IFSP prior to max age,09/2017 - 08/2018,4378,2161,3,51,302,10,1805,46,4378,2439,1939,4378,data\data_file_8.csv.csv
2017-2018,Texas,Deceased,09/2017 - 08/2018,66,28,0,2,10,0,25,1,66,33,33,66,data\data_file_8.csv.csv
2017-2018,Texas,Moved out of state,09/2017 - 08/2018,1043,408,5,54,102,3,455,16,1043,657,386,1043,data\data_file_8.csv.csv
2017-2018,Texas,Not eligible Part B - exit to other program,09/2017 - 08/2018,1266,714,0,19,96,2,427,8,1266,825,441,1266,data\data_file_8.csv.csv
2017-2018,Texas,Not eligible Part B - exit with no referrals,09/2017 - 08/2018,536,301,0,14,32,0,186,3,536,353,183,536,data\data_file_8.csv.csv
2017-2018,Texas,Part B eligibility not determined,09/2017 - 08/2018,3622,2151,8,73,277,5,1080,28,3622,2558,1064,3622,data\data_file_8.csv.csv
2017-2018,Texas,"Part B eligible, Continuing in Part C",09/2017 - 08/2018,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_8.csv.csv
2017-2018,Texas,"Part B eligible, exiting Part C",09/2017 - 08/2018,8844,4708,12,259,660,30,3098,77,8844,6282,2562,8844,data\data_file_8.csv.csv
2017-2018,Texas,Total number exiting,09/2017 - 08/2018,29360,15475,40,723,2236,66,10578,242,29360,19027,10333,29360,data\data_file_8.csv.csv
2017-2018,Texas,Withdrawal by parent,09/2017 - 08/2018,6554,3278,10,213,424,12,2579,38,6554,3982,2572,6554,data\data_file_8.csv.csv
2017-2018,Utah,Attempts to contact unsuccessful,07/2017 - 06/2018,176,61,7,4,4,6,82,12,176,112,64,176,data\data_file_8.csv.csv
2017-2018,Utah,Completion of IFSP prior to max age,07/2017 - 06/2018,201,47,3,2,3,3,137,6,201,107,94,201,data\data_file_8.csv.csv
2017-2018,Utah,Deceased,07/2017 - 06/2018,10,3,0,1,0,0,6,0,10,6,4,10,data\data_file_8.csv.csv
2017-2018,Utah,Moved out of state,07/2017 - 06/2018,243,39,5,6,3,4,175,11,243,142,101,243,data\data_file_8.csv.csv
2017-2018,Utah,Not eligible Part B - exit to other program,07/2017 - 06/2018,81,18,0,2,1,2,55,3,81,58,23,81,data\data_file_8.csv.csv
2017-2018,Utah,Not eligible Part B - exit with no referrals,07/2017 - 06/2018,378,69,3,2,1,2,294,7,378,266,112,378,data\data_file_8.csv.csv
2017-2018,Utah,Part B eligibility not determined,07/2017 - 06/2018,485,154,6,14,8,7,276,20,485,321,164,485,data\data_file_8.csv.csv
2017-2018,Utah,"Part B eligible, Continuing in Part C",07/2017 - 06/2018,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_8.csv.csv
2017-2018,Utah,"Part B eligible, exiting Part C",07/2017 - 06/2018,1871,390,20,21,10,19,1342,69,1871,1344,527,1871,data\data_file_8.csv.csv
2017-2018,Utah,Total number exiting,07/2017 - 06/2018,4737,988,47,76,38,55,3370,163,4737,3090,1647,4737,data\data_file_8.csv.csv
2017-2018,Utah,Withdrawal by parent,07/2017 - 06/2018,1292,207,3,24,8,12,1003,35,1292,734,558,1292,data\data_file_8.csv.csv
2017-2018,Vermont,Attempts to contact unsuccessful,07/2017 - 06/2018,61,2,x,0,1,x,54,4,61,42,19,61,data\data_file_8.csv.csv
2017-2018,Vermont,Completion of IFSP prior to max age,07/2017 - 06/2018,210,2,x,2,1,x,193,10,210,118,92,210,data\data_file_8.csv.csv
2017-2018,Vermont,Deceased,07/2017 - 06/2018,1,1,x,0,0,x,0,0,1,1,0,1,data\data_file_8.csv.csv
2017-2018,Vermont,Moved out of state,07/2017 - 06/2018,36,2,x,3,1,x,28,2,36,25,11,36,data\data_file_8.csv.csv
2017-2018,Vermont,Not eligible Part B - exit to other program,07/2017 - 06/2018,14,0,x,1,0,x,11,2,14,8,6,14,data\data_file_8.csv.csv
2017-2018,Vermont,Not eligible Part B - exit with no referrals,07/2017 - 06/2018,67,1,x,1,1,x,60,4,67,39,28,67,data\data_file_8.csv.csv
2017-2018,Vermont,Part B eligibility not determined,07/2017 - 06/2018,7,0,x,0,0,x,6,1,7,6,1,7,data\data_file_8.csv.csv
2017-2018,Vermont,"Part B eligible, Continuing in Part C",07/2017 - 06/2018,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_8.csv.csv
2017-2018,Vermont,"Part B eligible, exiting Part C",07/2017 - 06/2018,580,9,x,12,16,x,509,31,580,413,167,580,data\data_file_8.csv.csv
2017-2018,Vermont,Total number exiting,07/2017 - 06/2018,1064,19,x,24,24,x,934,58,1064,705,359,1064,data\data_file_8.csv.csv
2017-2018,Vermont,Withdrawal by parent,07/2017 - 06/2018,88,2,x,5,4,x,73,4,88,53,35,88,data\data_file_8.csv.csv
2017-2018,Virgin Islands,Attempts to contact unsuccessful,10/2017 - 09/2018,1,x,x,x,0,0,x,x,1,1,0,1,data\data_file_8.csv.csv
2017-2018,Virgin Islands,Completion of IFSP prior to max age,10/2017 - 09/2018,5,x,x,x,5,0,x,x,5,4,1,5,data\data_file_8.csv.csv
2017-2018,Virgin Islands,Deceased,10/2017 - 09/2018,1,x,x,x,1,0,x,x,1,0,1,1,data\data_file_8.csv.csv
2017-2018,Virgin Islands,Moved out of state,10/2017 - 09/2018,4,x,x,x,4,0,x,x,4,3,1,4,data\data_file_8.csv.csv
2017-2018,Virgin Islands,Not eligible Part B - exit to other program,10/2017 - 09/2018,7,x,x,x,5,0,x,x,7,5,2,7,data\data_file_8.csv.csv
2017-2018,Virgin Islands,Not eligible Part B - exit with no referrals,10/2017 - 09/2018,9,x,x,x,9,0,x,x,9,4,5,9,data\data_file_8.csv.csv
2017-2018,Virgin Islands,Part B eligibility not determined,10/2017 - 09/2018,1,x,x,x,1,0,x,x,1,0,1,1,data\data_file_8.csv.csv
2017-2018,Virgin Islands,"Part B eligible, Continuing in Part C",10/2017 - 09/2018,0,x,x,x,0,0,x,x,0,0,0,0,data\data_file_8.csv.csv
2017-2018,Virgin Islands,"Part B eligible, exiting Part C",10/2017 - 09/2018,30,x,x,x,22,0,x,x,30,20,10,30,data\data_file_8.csv.csv
2017-2018,Virgin Islands,Total number exiting,10/2017 - 09/2018,64,x,x,x,51,0,x,x,64,40,24,64,data\data_file_8.csv.csv
2017-2018,Virgin Islands,Withdrawal by parent,10/2017 - 09/2018,6,x,x,x,4,0,x,x,6,3,3,6,data\data_file_8.csv.csv
2017-2018,Virginia,Attempts to contact unsuccessful,12/2016 - 12/2017,736,74,0,20,236,0,330,76,736,444,292,736,data\data_file_8.csv.csv
2017-2018,Virginia,Completion of IFSP prior to max age,12/2016 - 12/2017,1664,196,1,69,201,6,1047,144,1664,959,705,1664,data\data_file_8.csv.csv
2017-2018,Virginia,Deceased,12/2016 - 12/2017,34,4,0,1,7,0,20,2,34,17,17,34,data\data_file_8.csv.csv
2017-2018,Virginia,Moved out of state,12/2016 - 12/2017,568,67,0,52,76,2,304,67,568,357,211,568,data\data_file_8.csv.csv
2017-2018,Virginia,Not eligible Part B - exit to other program,12/2016 - 12/2017,668,84,0,29,171,0,325,59,668,454,214,668,data\data_file_8.csv.csv
2017-2018,Virginia,Not eligible Part B - exit with no referrals,12/2016 - 12/2017,955,105,0,51,164,3,544,88,955,622,333,955,data\data_file_8.csv.csv
2017-2018,Virginia,Part B eligibility not determined,12/2016 - 12/2017,488,58,1,17,108,1,256,47,488,351,137,488,data\data_file_8.csv.csv
2017-2018,Virginia,"Part B eligible, Continuing in Part C",12/2016 - 12/2017,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_8.csv.csv
2017-2018,Virginia,"Part B eligible, exiting Part C",12/2016 - 12/2017,2552,351,5,206,507,3,1201,279,2552,1841,711,2552,data\data_file_8.csv.csv
2017-2018,Virginia,Total number exiting,12/2016 - 12/2017,9287,1142,7,579,1694,15,4914,936,9287,6037,3250,9287,data\data_file_8.csv.csv
2017-2018,Virginia,Withdrawal by parent,12/2016 - 12/2017,1622,203,0,134,224,0,887,174,1622,992,630,1622,data\data_file_8.csv.csv
2017-2018,Washington,Attempts to contact unsuccessful,07/2017 - 06/2018,528,148,10,30,30,7,250,53,528,326,202,528,data\data_file_8.csv.csv
2017-2018,Washington,Completion of IFSP prior to max age,07/2017 - 06/2018,557,91,2,36,25,5,368,30,557,305,252,557,data\data_file_8.csv.csv
2017-2018,Washington,Deceased,07/2017 - 06/2018,23,6,0,1,2,0,13,1,23,12,11,23,data\data_file_8.csv.csv
2017-2018,Washington,Moved out of state,07/2017 - 06/2018,507,86,7,42,21,5,299,47,507,334,173,507,data\data_file_8.csv.csv
2017-2018,Washington,Not eligible Part B - exit to other program,07/2017 - 06/2018,572,146,10,45,18,6,305,42,572,341,231,572,data\data_file_8.csv.csv
2017-2018,Washington,Not eligible Part B - exit with no referrals,07/2017 - 06/2018,416,86,3,25,12,2,251,37,416,287,129,416,data\data_file_8.csv.csv
2017-2018,Washington,Part B eligibility not determined,07/2017 - 06/2018,632,144,15,44,34,5,343,47,632,435,197,632,data\data_file_8.csv.csv
2017-2018,Washington,"Part B eligible, Continuing in Part C",07/2017 - 06/2018,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_8.csv.csv
2017-2018,Washington,"Part B eligible, exiting Part C",07/2017 - 06/2018,3390,808,40,224,165,26,1866,261,3390,2389,1001,3390,data\data_file_8.csv.csv
2017-2018,Washington,Total number exiting,07/2017 - 06/2018,8383,1802,102,613,377,70,4760,659,8383,5458,2925,8383,data\data_file_8.csv.csv
2017-2018,Washington,Withdrawal by parent,07/2017 - 06/2018,1758,287,15,166,70,14,1065,141,1758,1029,729,1758,data\data_file_8.csv.csv
2017-2018,West Virginia,Attempts to contact unsuccessful,07/2017 - 06/2018,214,0,x,1,10,x,183,20,214,126,88,214,data\data_file_8.csv.csv
2017-2018,West Virginia,Completion of IFSP prior to max age,07/2017 - 06/2018,226,1,x,3,3,x,206,12,226,117,109,226,data\data_file_8.csv.csv
2017-2018,West Virginia,Deceased,07/2017 - 06/2018,3,0,x,0,0,x,2,1,3,1,2,3,data\data_file_8.csv.csv
2017-2018,West Virginia,Moved out of state,07/2017 - 06/2018,165,7,x,5,9,x,128,16,165,113,52,165,data\data_file_8.csv.csv
2017-2018,West Virginia,Not eligible Part B - exit to other program,07/2017 - 06/2018,163,3,x,2,7,x,144,7,163,107,56,163,data\data_file_8.csv.csv
2017-2018,West Virginia,Not eligible Part B - exit with no referrals,07/2017 - 06/2018,104,0,x,4,2,x,89,9,104,65,39,104,data\data_file_8.csv.csv
2017-2018,West Virginia,Part B eligibility not determined,07/2017 - 06/2018,648,6,x,6,21,x,585,30,648,437,211,648,data\data_file_8.csv.csv
2017-2018,West Virginia,"Part B eligible, Continuing in Part C",07/2017 - 06/2018,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_8.csv.csv
2017-2018,West Virginia,"Part B eligible, exiting Part C",07/2017 - 06/2018,869,11,x,6,25,x,787,39,869,606,263,869,data\data_file_8.csv.csv
2017-2018,West Virginia,Total number exiting,07/2017 - 06/2018,3386,32,x,31,113,x,3040,167,3386,2137,1249,3386,data\data_file_8.csv.csv
2017-2018,West Virginia,Withdrawal by parent,07/2017 - 06/2018,994,4,x,4,36,x,916,33,994,565,429,994,data\data_file_8.csv.csv
2017-2018,Wisconsin,Attempts to contact unsuccessful,07/2017 - 06/2018,411,72,8,8,133,1,163,26,411,253,158,411,data\data_file_8.csv.csv
2017-2018,Wisconsin,Completion of IFSP prior to max age,07/2017 - 06/2018,1129,134,12,21,86,1,849,26,1129,630,499,1129,data\data_file_8.csv.csv
2017-2018,Wisconsin,Deceased,07/2017 - 06/2018,16,2,1,2,3,0,7,1,16,9,7,16,data\data_file_8.csv.csv
2017-2018,Wisconsin,Moved out of state,07/2017 - 06/2018,145,12,2,8,29,0,90,4,145,91,54,145,data\data_file_8.csv.csv
2017-2018,Wisconsin,Not eligible Part B - exit to other program,07/2017 - 06/2018,234,34,6,3,54,0,125,12,234,146,88,234,data\data_file_8.csv.csv
2017-2018,Wisconsin,Not eligible Part B - exit with no referrals,07/2017 - 06/2018,209,19,2,4,16,0,162,6,209,144,65,209,data\data_file_8.csv.csv
2017-2018,Wisconsin,Part B eligibility not determined,07/2017 - 06/2018,879,141,17,19,104,0,557,41,879,587,292,879,data\data_file_8.csv.csv
2017-2018,Wisconsin,"Part B eligible, Continuing in Part C",07/2017 - 06/2018,0,0,0,0,0,0,0,0,0,0,0,0,data\data_file_8.csv.csv
2017-2018,Wisconsin,"Part B eligible, exiting Part C",07/2017 - 06/2018,2575,445,29,62,238,3,1711,87,2575,1818,757,2575,data\data_file_8.csv.csv
2017-2018,Wisconsin,Total number exiting,07/2017 - 06/2018,6576,975,92,153,732,5,4370,249,6576,4311,2265,6576,data\data_file_8.csv.csv
2017-2018,Wisconsin,Withdrawal by parent,07/2017 - 06/2018,978,116,15,26,69,0,706,46,978,633,345,978,data\data_file_8.csv.csv
2017-2018,Wyoming,Attempts to contact unsuccessful,07/2017 - 06/2018,61,16,4,0,x,x,39,2,61,33,28,61,data\data_file_8.csv.csv
2017-2018,Wyoming,Completion of IFSP prior to max age,07/2017 - 06/2018,262,24,4,2,x,x,221,9,262,142,120,262,data\data_file_8.csv.csv
2017-2018,Wyoming,Deceased,07/2017 - 06/2018,2,1,0,0,x,x,1,0,2,2,0,2,data\data_file_8.csv.csv
2017-2018,Wyoming,Moved out of state,07/2017 - 06/2018,73,11,4,1,x,x,48,8,73,44,29,73,data\data_file_8.csv.csv
2017-2018,Wyoming,Not eligible Part B - exit to other program,07/2017 - 06/2018,61,12,1,0,x,x,47,1,61,33,28,61,data\data_file_8.csv.csv
2017-2018,Wyoming,Not eligible Part B - exit with no referrals,07/2017 - 06/2018,72,8,7,0,x,x,54,3,72,43,29,72,data\data_file_8.csv.csv
2017-2018,Wyoming,Part B eligibility not determined,07/2017 - 06/2018,7,1,1,0,x,x,4,1,7,6,1,7,data\data_file_8.csv.csv
2017-2018,Wyoming,"Part B eligible, Continuing in Part C",07/2017 - 06/2018,-,-,-,-,-,-,-,-,-,-,-,-,data\data_file_8.csv.csv
2017-2018,Wyoming,"Part B eligible, exiting Part C",07/2017 - 06/2018,456,61,23,5,x,x,329,35,456,321,135,456,data\data_file_8.csv.csv
2017-2018,Wyoming,Total number exiting,07/2017 - 06/2018,1056,139,48,8,x,x,791,64,1056,652,404,1056,data\data_file_8.csv.csv
2017-2018,Wyoming,Withdrawal by parent,07/2017 - 06/2018,62,5,4,0,x,x,48,5,62,28,34,62,data\data_file_8.csv.csv
2017-2018,US and Outlying Areas,Attempts to contact unsuccessful,-,26280,8212,370,638,5683,110,10043,1224,26280,16074,10206,26280,data\data_file_8.csv.csv
2017-2018,US and Outlying Areas,Completion of IFSP prior to max age,-,45716,8899,232,1501,3721,108,29384,1871,45716,25762,19954,45716,data\data_file_8.csv.csv
2017-2018,US and Outlying Areas,Deceased,-,917,213,11,33,183,5,436,36,917,468,449,917,data\data_file_8.csv.csv
2017-2018,US and Outlying Areas,Moved out of state,-,14818,3475,128,1018,1723,65,7680,729,14818,9332,5486,14818,data\data_file_8.csv.csv
2017-2018,US and Outlying Areas,Not eligible Part B - exit to other program,-,19089,6014,158,917,2144,52,9145,659,19089,12108,6981,19089,data\data_file_8.csv.csv
2017-2018,US and Outlying Areas,Not eligible Part B - exit with no referrals,-,14032,2893,107,543,1519,54,8297,619,14032,9047,4985,14032,data\data_file_8.csv.csv
